Uninstalled 1 package in 4ms
Installed 1 package in 2ms
case 0: n=0 A=1 K=1
case 1: n=0 A=1 K=1
case 2: n=0 A=1 K=1
case 3: n=1 A=1 K=0
case 4: n=1 A=1 K=0
case 5: n=1 A=1 K=0
case 6: n=0 A=1 K=1
case 7: n=0 A=1 K=1
case 8: n=1 A=1 K=0
case 9: n=0 A=1 K=1
case 10: n=0 A=1 K=1
case 11: n=1 A=1 K=0
case 12: n=0 A=1 K=1
case 13: n=1 A=1 K=0
case 14: n=0 A=1 K=1
case 15: n=1 A=1 K=0
case 16: n=1 A=1 K=0
case 17: n=878 A=6878 K=3293
oracle n=878 A=6878 cubes=3855 forced=3003 remaining=870 free=850 tight=True
case 18: n=1 A=1 K=0
case 19: n=1 A=1 K=0
case 20: n=1838 A=14870 K=7129
oracle n=1838 A=14870 cubes=8383 forced=6521 remaining=1824 free=1858 tight=True
case 21: n=1 A=1 K=0
case 22: n=1 A=1 K=0
case 23: n=1 A=1 K=0
case 24: n=1 A=1 K=0
case 25: n=0 A=1 K=1
case 26: n=0 A=1 K=1
case 27: n=1 A=1 K=0
case 28: n=0 A=1 K=1
case 29: n=1 A=1 K=0
case 30: n=0 A=1 K=1
case 31: n=0 A=1 K=1
case 32: n=1 A=1 K=0
case 33: n=1 A=1 K=0
case 34: n=0 A=1 K=1
case 35: n=1 A=1 K=0
case 36: n=1 A=1 K=0
case 37: n=1 A=1 K=0
case 38: n=1 A=1 K=0
case 39: n=0 A=1 K=1
case 40: n=1 A=1 K=0
case 41: n=1 A=1 K=0
case 42: n=1112 A=8696 K=4163
oracle n=1112 A=8696 cubes=4872 forced=3795 remaining=1104 free=1075 tight=True
case 43: n=1 A=1 K=0
case 44: n=1826 A=14546 K=6969
oracle n=1826 A=14546 cubes=8177 forced=6363 remaining=1818 free=1812 tight=True
case 45: n=0 A=1 K=1
case 46: n=0 A=1 K=1
case 47: n=1 A=1 K=0
case 48: n=1 A=1 K=0
case 49: n=0 A=1 K=1
case 50: n=1 A=1 K=0
case 51: n=0 A=1 K=1
case 52: n=0 A=1 K=1
case 53: n=1 A=1 K=0
case 54: n=0 A=1 K=1
case 55: n=0 A=1 K=1
case 56: n=1 A=1 K=0
case 57: n=1 A=1 K=0
case 58: n=1 A=1 K=0
case 59: n=1 A=1 K=0
case 60: n=1 A=1 K=0
case 61: n=0 A=1 K=1
case 62: n=1 A=1 K=0
case 63: n=0 A=1 K=1
case 64: n=1 A=1 K=0
case 65: n=0 A=1 K=1
case 66: n=1 A=1 K=0
case 67: n=0 A=1 K=1
case 68: n=0 A=1 K=1
case 69: n=1 A=1 K=0
case 70: n=1 A=1 K=0
case 71: n=0 A=1 K=1
case 72: n=0 A=1 K=1
case 73: n=1 A=1 K=0
case 74: n=0 A=1 K=1
case 75: n=1 A=1 K=0
case 76: n=1 A=1 K=0
case 77: n=1 A=1 K=0
case 78: n=1 A=1 K=0
case 79: n=0 A=1 K=1
case 80: n=0 A=1 K=1
case 81: n=0 A=1 K=1
case 82: n=1 A=1 K=0
case 83: n=0 A=1 K=1
case 84: n=1 A=1 K=0
case 85: n=1796 A=14156 K=6779
oracle n=1796 A=14156 cubes=7942 forced=6183 remaining=1788 free=1757 tight=True
case 86: n=1 A=1 K=0
case 87: n=1 A=1 K=0
case 88: n=0 A=1 K=1
case 89: n=0 A=1 K=1
case 90: n=1 A=1 K=0
case 91: n=0 A=1 K=1
case 92: n=1 A=1 K=0
case 93: n=0 A=1 K=1
case 94: n=1 A=1 K=0
case 95: n=0 A=1 K=1
case 96: n=0 A=1 K=1
case 97: n=1 A=1 K=0
case 98: n=1 A=1 K=0
case 99: n=1 A=1 K=0
case 100: n=0 A=1 K=1
case 101: n=1 A=1 K=0
case 102: n=1418 A=11186 K=5357
oracle n=1418 A=11186 cubes=6277 forced=4887 remaining=1410 free=1388 tight=True
case 103: n=1 A=1 K=0
case 104: n=824 A=6464 K=3095
oracle n=824 A=6464 cubes=3624 forced=2823 remaining=816 free=799 tight=True
case 105: n=0 A=1 K=1
case 106: n=890 A=6938 K=3321
oracle n=890 A=6938 cubes=3885 forced=3031 remaining=870 free=848 tight=True
case 107: n=1 A=1 K=0
case 108: n=1 A=1 K=0
case 109: n=1 A=1 K=0
case 110: n=1 A=1 K=0
case 111: n=0 A=1 K=1
case 112: n=1 A=1 K=0
case 113: n=0 A=1 K=1
case 114: n=1514 A=12434 K=5965
oracle n=1514 A=12434 cubes=7029 forced=5463 remaining=1506 free=1564 tight=True
candidate passed: 115 source cases, 133 target outputs, 61 NO-SOLUTION outputs
